Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Alexander,Schlager,AUT,Goalkeeper,LASK,25,1,0,0,0,0,0,0
Pavao,Pervan,AUT,Goalkeeper,Wolfsburg,33,12,0,0,0,0,0,0
Daniel,Bachmann,AUT,Goalkeeper,Watford,26,13,1,90,0,1,0,0
Andreas,Ulmer,AUT,Defender,Salzburg,35,2,1,90,0,0,0,0
Aleksandar,Dragović,AUT,Defender,Leverkusen,30,3,1,45,0,0,0,0
Martin,Hinteregger,AUT,Defender,Frankfurt,28,4,1,90,0,0,0,0
Stefan,Posch,AUT,Defender,Hoffenheim,24,5,0,0,0,0,0,0
David,Alaba,AUT,Defender,Bayern,28,8,1,90,0,0,0,0
Philipp,Lienhart,AUT,Defender,Freiburg,24,15,1,45,0,0,0,0
Stefan,Lainer,AUT,Defender,Mönchengladbach,28,21,1,90,1,0,1,0
Marco,Friedl,AUT,Defender,Bayern,23,26,0,0,0,0,0,0
Stefan,Ilsanker,AUT,Midfielder,Frankfurt,32,6,1,1,0,0,0,0
Marcel,Sabitzer,AUT,Midfielder,Leipzig,27,9,1,90,0,0,0,0
Florian,Grillitsch,AUT,Midfielder,Hoffenheim,25,10,0,0,0,0,0,0
Julian,Baumgartlinger,AUT,Midfielder,Leverkusen,33,14,1,1,0,0,0,0
Christopher,Trimmel,AUT,Midfielder,Union Berlin,34,16,0,0,0,0,0,0
Louis,Schaub,AUT,Midfielder,Luzern,26,17,0,0,0,0,0,0
Alessandro,Schöpf,AUT,Midfielder,Schalke,27,18,0,0,0,0,0,0
Christoph,Baumgartner,AUT,Midfielder,Hoffenheim,21,19,1,58,0,0,0,0
Karim,Onisiwo,AUT,Midfielder,Mainz,29,20,0,0,0,0,0,0
Valentino,Lazaro,AUT,Midfielder,Mönchengladbach,25,22,0,0,0,0,0,0
Xaver,Schlager,AUT,Midfielder,Wolfsburg,23,23,1,89,0,0,0,0
Konrad,Laimer,AUT,Midfielder,Leipzig,24,24,1,89,0,0,0,0
Marko,Arnautović,AUT,Forward,Shanghai SIPG,32,7,1,31,1,0,0,0
Michael,Gregoritsch,AUT,Forward,Augsburg,27,11,1,32,1,0,0,0
Sasa,Kalajdzic,AUT,Forward,Stuttgart,23,25,1,59,0,0,0,0
Thibaut,Courtois,BEL,Goalkeeper,Real Madrid,29,1,1,90,0,1,0,0
Simon,Mignolet,BEL,Goalkeeper,Club Brugge,33,12,0,0,0,0,0,0
Matz,Sels,BEL,Goalkeeper,Strasbourg,29,13,0,0,0,0,0,0
Toby,Alderweireld,BEL,Defender,Tottenham,32,2,1,90,0,0,0,0
Thomas,Vermaelen,BEL,Defender,Vissel Kobe,35,3,1,13,0,0,0,0
Dedryck,Boyata,BEL,Defender,Hertha,30,4,1,90,0,0,0,0
Jan,Vertonghen,BEL,Defender,Benfica,34,5,1,77,0,0,0,0
Thomas,Meunier,BEL,Defender,Dortmund,29,15,1,63,1,0,0,0
Jason,Denayer,BEL,Defender,Lyon,25,18,0,0,0,0,0,0
